ΑΡΙΘΜΗΤΙΚΟΣ ΚΩΔΙΚΟΣ ΤΗΣ ΤΡΑΠΕΖΑΣ;SWIFT BIC;ΕΠΙΣΗΜΗ ΟΝΟΜΑΣΙΑ ΤΗΣ ΤΡΑΠΕΖΑΣ (ΕΛΛΗΝΙΚΑ);ΤΗΛΕΦΩΝΙΚΟ ΚΕΝΤΡΟ;ΚΕΝΤΡΙΚΟFAX;ΔΙΕΥΘΥΝΣΗ ΕΔΡΑΣ ΤΗΣ ΤΡΑΠΕΖΑΣ (ΕΛΛΗΝΙΚΑ);ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΕΥΘΥΝΣΗ-URL;ΕΠΙΣΗΜΗ ΟΝΟΜΑΣΙΑ ΤΗΣ ΤΡΑΠΕΖΑΣ (ΑΓΓΛΙΚΑ);ΔΙΕΥΘΥΝΣΗ ΕΔΡΑΣ ΤΗΣ ΤΡΑΠΕΖΑΣ (ΑΓΓΛΙΚΑ);ΚΕΝΤΡΙΚΟ TELEX;ELECTRONIC ADDRESS WEBSITE
10;BNGRGRAA;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;210-3201111;210-3232239;Ελ. Βενιζέλου 21, 102 50 Αθήνα;www.bankofgreece.gr;BANK OF GREECE;21, Ave El Venizelou, GR-102 50 Athens;215752 BNGR;www.bankofgreece.gr
11;ETHNGRAA;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;210-3341000;210-3346510;Αιόλου 86, 102 32 Αθήνα;www.nbg.gr;NATIONAL BANK OF GREECE S.A.;86, Eolou Str., GR-102 32 Athens;2100-214931,33;www.nbg.gr
14;CRBAGRAA;ΑΛΦΑ ΤΡΑΠΕΖΑ Α.Ε.;210-3260000;210-3265438;Σταδίου 40, 102 52 Αθήνα;www.alpha.gr;ALPHA BANK S.A.;40, Stadiou Str., GR-102 52 Athens;;www.alpha.gr
16;ATTIGRAA;ATTICA BANK ΑΝΩΝΥΜΗ ΤΡΑΠΕΖΙΚΗ ΕΤΑΙΡΕΙΑ;210-3669000;210-3667245;Ομήρου 23, 10672 Αθήνα;www.atticabank.gr;ATTICA BANK S.A.;23 Omirou Str., GR-106 72 Athens;;www.atticabank.gr
17;PIRBGRAA;ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ Α.Ε.;210 3335000;210 3335080;Αμερικής 4, 105 64 Αθήνα;www.piraeusbank.gr;PIRAEUS BANK S.A.;4, Amerikis Str., 105 64 Athens;215501 PIRB GR 215502 PIRB GR 222777 PBFX GR;WWW.PIRAEUSBANK.GR
26;ΕRBKGRAA;ΤΡΑΠΕΖΑ EUROBANK ERGASIAS Α.Ε.;210-3337000;210-3233866;Όθωνος 8, 105 57 Αθήνα;www.eurobank.gr;EUROBANK ERGASIAS S.A.;8, Othonos Str. GR-105 57 ATHENS;210923 euro gr;www.eurobank.gr
34;IBOGGRAA;ΕΠΕΝΔΥΤΙΚΗ ΤΡΑΠΕΖΑ ΕΛΛΑΔΟΣ ΑΕ;210-8173000;210-8173101;Αιγιαλείας 32, 151 25 Μαρούσι;www.ibg.gr;INVESTMENT BANK OF GREECE SA;Aigialias 32 st. GR-151 25 Maroussi;;www.ibg.gr
39;PARBGRAX;BNP PARIBAS SECURITIES SERVICES;210-7468500;210-7468579;Λαμψάκου 2, 115 28 Αθήνα;http://securities.bnpparibas.com;BNP PARIBAS SECURITIES SERVICES;2, Lampsakou Str., GR-115 28 Athens;210761 / 210762;http://securities.bnpparibas.com
40;FIATGRA1;FCA BANK GmbH;210-9988777;210-9961118;Λ. Βουλιαγμένης 580Α Αργυρούπολη 164 52;www.fcabank.gr;FCA BANK GmbH;580A Vouliagmenis Av., GR-164 52 Argyroupoli ;;www.fcabank.gr
50;BSIRGRAA;ΤΡΑΠΕΖΑ ΣΑΝΤΕΡΑΤ ΙΡΑΝ;210-3249531;210-3251154;Ελ. Βενιζέλου 25-29, 105 64 Αθήνα;www.saderat.gr;BANK SADERAT IRAN;25-29 El. Venizelou Str., GR-105 64 Athens;218385 SABK GR;www.saderat.gr
