ΚΩΔΙΚΟΣ HEBIC;ΟΝΟΜΑΣΙΑ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΕΛΛΗΝΙΚΑ);ΟΝΟΜΑΣΙΑ ΤΟΠΟΘΕΣΙΑΣ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΕΛΛΗΝΙΚΑ);Διεύθυνση ΕΛΛΗΝΙΚΑ;ΑΡΙΘΜΟΣ ΤΗΛΕΦΩΝΟΥ;ΤΑΧΥΔΡΟΜΙΚΗ ΠΕΡΙΟΧΗ (ΕΛΛΗΝΙΚΑ);ΔΗΜΟΣ/ ΚΟΙΝΟΤΗΤΑ;ΓΡΑΦΕΙΟ ΤΑΧΥΔΡΟΜΙΚΟΥ ΚΩΔΙΚΑ;ΔΙΑΔΡΟΜΗ ΤΑΧΥΔΡΟΜΙΚΟΥ ΚΩΔΙΚΑ;ΕΠΙΣΗΜΗ ΟΝΟΜΑΣΙΑ ΤΗΣ ΤΡΑΠΕΖΑΣ (ΕΛΛΗΝΙΚΑ);ΕΠΙΣΗΜΗ ΟΝΟΜΑΣΙΑ ΤΗΣ ΤΡΑΠΕΖΑΣ (ΑΓΓΛΙΚΑ);ΟΝΟΜΑΣΙΑ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΑΓΓΛΙΚΑ);ΟΝΟΜΑΣΙΑ ΠΕΡΙΟΧΗΣ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΕΛΛΗΝΙΚΑ);ΟΝΟΜΑΣΙΑ ΠΕΡΙΟΧΗΣ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΑΓΓΛΙΚΑ);ΟΝΟΜΑΣΙΑ ΤΟΠΟΘΕΣΙΑΣ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΑΓΓΛΙΚΑ);Διεύθυνση ΑΓΓΛΙΚΑ;ΤΑΧΥΔΡΟΜΙΚΗ ΠΕΡΙΟΧΗ (ΑΓΓΛΙΚΑ);ΑΡΙΘΜΟΣ FAX;ΔΗΜΟΣ/ ΚΟΙΝΟΤΗΤΑ_1;ΝΟΜΟΣ
100001;Κ. Κ/ΜΑ ΤΜΗΜΑ ΓΡΑΜΜΑΤΕΙΑΣ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202049;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE SECRETARIAT SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103226371;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100002;Κ. Κ/ΜΑ ΤΜΗΜΑ ΔΙΑΓΩΝΙΣΜΩΝ ΚΑΙ ΣΥΜΒΑΣΕΩΝ ΕΡΓΩΝ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202153;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE TENDER AND PROCUREMENT SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103231691;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100003;Κ. Κ/ΜΑ ΤΜΗΜΑ ΑΝΘΡΩΠΙΝΟΥ ΔΥΝΑΜΙΚΟΥ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202090;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE HUMAN RESOURCES SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103203961;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100004;Κ. Κ/ΜΑ ΤΜΗΜΑ ΔΙΑΧΕΙΡΙΣΗΣ ΕΓΓΡΑΦΩΝ, ΤΗΛΕΓΡΑΦΗΜΑΤΩΝ ΚΑΙ ΚΛΕΙΔΑΡΙΘΜΩΝ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202198;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE DOCUMENT MANAGEMENT TELEGRAMS AND TEST KEYS SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103236954;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100005;Κ. Κ/ΜΑ ΤΜΗΜΑ ΔΙΑΧΕΙΡΙΣΗΣ ΜΙΣΘΟΔΟΣΙΑΣ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202128;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE PAYROLL MANAGEMENT SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103236930;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100007;Κ. Κ/ΜΑ ΤΜΗΜΑ ΑΣΦΑΛΕΙΑΣ ΚΕΝΤΡΙΚΩΝ ΜΟΝΑΔΩΝ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202101;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE SECURITY SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;210 3202928;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100008;Κ. Κ/ΜΑ ΤΜΗΜΑ ΕΠΟΠΤΕΙΑΣ ΣΥΣΤΗΜΙΚΩΝ ΠΙΣΤΩΤΙΚΩΝ ΙΔΡΥΜΑΤΩΝ Α΄;Αθήνα Κέντρο;Αμερικής 3;2103205193;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE SYSTEMIC CREDIT INSTITUTIONS SUPERVISION SECTION A;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;3, Amerikis;ATHENS;;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100009;Κ. Κ/ΜΑ ΤΜΗΜΑ ΔΙΑΧΕΙΡΙΣΗΣ ΤΙΤΛΩΝ ΜΕ ΛΟΓΙΣΤΙΚΗ ΜΟΡΦΗ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202627;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE BOOK ENTRY SECURITIES MANAGEMENT SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103235747;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100010;Κ. Κ/ΜΑ ΤΜΗΜΑ ΑΡΧΕΙΟΥ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202206;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE ARCHIVES SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103203950;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100012;Κ. Κ/ΜΑ ΤΜΗΜΑ ΥΠΟΣΤΗΡΙΞΗΣ ΔΙΑΧΕΙΡΙΣΗΣ ΔΙΑΘΕΣΙΜΩΝ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103203766;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE RESERVES MANAGEMENT BACK UP SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103220140;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
